package_id,name,destination,duration_days,price,hotel,inclusions,exclusions
PKG018,Paris & Swiss Alps Europe Tour 8D/7N Tour Package,Paris & Swiss Alps Europe Tour,8,155000,Mercure Zurich Airport,Travel insurance; Private air-conditioned vehicle for transfers; Return economy class flights; Welcome drink on arrival; One-day city tour with entry tickets; Sightseeing as per itinerary; Airport transfers,"Entry fees to monuments not listed in itinerary; Visa fees; Optional excursions and activities; Personal expenses (laundry, phone, minibar); Any meals not mentioned in inclusions"
PKG019,Magical Kuwait City Break - 4D/3N,Kuwait City Break,4,57500,Four Points by Sheraton Kuwait,Visa assistance; Desert safari with BBQ dinner; Airport transfers; Burj Khalifa / landmark entry ticket; Daily breakfast; Travel insurance; One-day city tour with entry tickets,International/domestic airfare (unless mentioned); Travel insurance; Early check-in/late check-out charges; Any meals not mentioned in inclusions
PKG020,Rajasthan Heritage (Jaipur-Udaipur-Jodhpur) 8D/7N Holiday Package,Rajasthan Heritage (Jaipur-Udaipur-Jodhpur),8,63000,Ramada Udaipur,All applicable hotel taxes; Bonfire and cultural evening; Daily breakfast; Return economy class flights; One-day city tour with entry tickets; Airport transfers,GST and other government taxes over quoted price; Travel insurance; Optional excursions and activities
PKG021,Explore Agra & Delhi Golden Triangle - 4D/3N,Agra & Delhi Golden Triangle,4,27000,The Oberoi Amarvilas,"Half board meals (breakfast & dinner); Hill-station sightseeing with entry tickets; Private air-conditioned vehicle for transfers; Sightseeing as per itinerary; All meals (breakfast, lunch & dinner); All applicable hotel taxes",Optional excursions and activities; Travel insurance; International/domestic airfare (unless mentioned); Lunch not specified in itinerary; Any meals not mentioned in inclusions
PKG022,Magical Mauritius Island Honeymoon - 6D/5N,Mauritius Island Honeymoon,6,124500,Ambre Resort & Spa,All applicable hotel taxes; Return economy class flights; Welcome drink on arrival; Daily breakfast; Private air-conditioned vehicle for transfers,International/domestic airfare (unless mentioned); Travel insurance; Entry fees to monuments not listed in itinerary; Early check-in/late check-out charges; Any meals not mentioned in inclusions
PKG023,Andaman & Nicobar Islands 6D/5N Holiday Package,Andaman & Nicobar Islands,6,35000,SeaShell Port Blair,"All applicable hotel taxes; Return economy class flights; Half board meals (breakfast & dinner); Houseboat overnight stay; All meals (breakfast, lunch & dinner); Hill-station sightseeing with entry tickets; Airport transfers",GST and other government taxes over quoted price; Any meals not mentioned in inclusions; Anything not specifically mentioned in inclusions
PKG024,Thekkady Family Getaway - 3 Days,"Thekkady, Kerala",3,12000,Cardamom County Resort,"All meals (breakfast, lunch & dinner); Welcome drink on arrival; All applicable hotel taxes; Houseboat overnight stay; Hill-station sightseeing with entry tickets","GST and other government taxes over quoted price; Personal expenses (laundry, phone, minibar); Anything not specifically mentioned in inclusions; Tips and porterage; Entry fees to monuments not listed in itinerary"
PKG025,Ooty & Coonoor Family Getaway - 4 Days,"Ooty & Coonoor, Tamil Nadu",4,13000,Sterling Ooty Elk Hill,"Airport transfers; One-day city tour with entry tickets; Half board meals (breakfast & dinner); English-speaking local guide; Bonfire and cultural evening; Houseboat overnight stay; All meals (breakfast, lunch & dinner)",Visa fees; Travel insurance; Lunch not specified in itinerary; Entry fees to monuments not listed in itinerary
PKG026,Ooty & Coonoor Family Getaway - 4 Days,"Ooty & Coonoor, Tamil Nadu",4,16000,Sterling Ooty Elk Hill,Welcome drink on arrival; Daily breakfast; One-day city tour with entry tickets; Half board meals (breakfast & dinner),Travel insurance; Optional excursions and activities; GST and other government taxes over quoted price; Entry fees to monuments not listed in itinerary
PKG027,Magical Riyadh City Tour - 3D/2N,Riyadh City Tour,3,32000,Narcissus Hotel Riyadh,Desert safari with BBQ dinner; Return economy class flights; Sightseeing as per itinerary; All applicable hotel taxes,Any meals not mentioned in inclusions; Anything not specifically mentioned in inclusions; International/domestic airfare (unless mentioned); Optional excursions and activities; Lunch not specified in itinerary
PKG028,Magical Singapore City & Sentosa - 6D/5N,Singapore City & Sentosa,6,59500,Marina Bay Sands,"Airport transfers; All meals (breakfast, lunch & dinner); One-day city tour with entry tickets; Return economy class flights; Daily breakfast",Tips and porterage; Travel insurance; Optional excursions and activities
PKG029,Abu Dhabi Explorer 5D/4N Tour Package,Abu Dhabi Explorer,5,59500,Emirates Palace,"One-day city tour with entry tickets; Airport transfers; All meals (breakfast, lunch & dinner); Return economy class flights; Desert safari with BBQ dinner; Daily breakfast; English-speaking local guide",Visa fees; Tips and porterage; International/domestic airfare (unless mentioned); Anything not specifically mentioned in inclusions; Entry fees to monuments not listed in itinerary
PKG030,Coorg 3D/2N Holiday Package,"Coorg, Karnataka",3,11000,Taj Madikeri Resort,"Sightseeing as per itinerary; All applicable hotel taxes; English-speaking local guide; All meals (breakfast, lunch & dinner); Private air-conditioned vehicle for transfers; Daily breakfast; Return economy class flights","GST and other government taxes over quoted price; Personal expenses (laundry, phone, minibar); Visa fees"
PKG031,Abu Dhabi Explorer 4D/3N Tour Package,Abu Dhabi Explorer,4,36500,Emirates Palace,"Private air-conditioned vehicle for transfers; All applicable hotel taxes; Visa assistance; Half board meals (breakfast & dinner); All meals (breakfast, lunch & dinner); Welcome drink on arrival",GST and other government taxes over quoted price; Entry fees to monuments not listed in itinerary; Travel insurance; Tips and porterage; Lunch not specified in itinerary
PKG032,Magical Abu Dhabi Explorer - 4D/3N,Abu Dhabi Explorer,4,30500,Emirates Palace,Travel insurance; Half board meals (breakfast & dinner); Welcome drink on arrival; Airport transfers; One-day city tour with entry tickets,Entry fees to monuments not listed in itinerary; Optional excursions and activities; Any meals not mentioned in inclusions; GST and other government taxes over quoted price; Anything not specifically mentioned in inclusions
PKG033,Kuala Lumpur & Genting Highlands Honeymoon Special - 4 Days,Kuala Lumpur & Genting Highlands,4,37000,Berjaya Times Square Hotel,Travel insurance; One-day city tour with entry tickets; Daily breakfast; English-speaking local guide; Sightseeing as per itinerary,International/domestic airfare (unless mentioned); Travel insurance; Anything not specifically mentioned in inclusions; Visa fees; Tips and porterage
PKG034,Kashmir Valley Family Getaway - 5 Days,Kashmir Valley,5,36000,Vivanta Dal View,"One-day city tour with entry tickets; All meals (breakfast, lunch & dinner); Private air-conditioned vehicle for transfers; Half board meals (breakfast & dinner); Hill-station sightseeing with entry tickets; Return economy class flights; Welcome drink on arrival",Travel insurance; Anything not specifically mentioned in inclusions; Tips and porterage; Any meals not mentioned in inclusions; International/domestic airfare (unless mentioned)
PKG035,Thailand Bangkok & Pattaya Honeymoon Special - 6 Days,Thailand Bangkok & Pattaya,6,51000,Centara Grand Pattaya,Half board meals (breakfast & dinner); Sightseeing as per itinerary; Daily breakfast; Return economy class flights,Lunch not specified in itinerary; Optional excursions and activities; Visa fees; Any meals not mentioned in inclusions
PKG036,Egypt Cairo & Nile Cruise Honeymoon Special - 6 Days,Egypt Cairo & Nile Cruise,6,85000,Steigenberger Cairo Pyramids,"All meals (breakfast, lunch & dinner); Rail/metro pass for city travel; Airport transfers; Daily breakfast",Optional excursions and activities; Early check-in/late check-out charges; International/domestic airfare (unless mentioned)
PKG037,Alleppey Backwaters 3D/2N Holiday Package,"Alleppey Backwaters, Kerala",3,12000,Punnamada Backwater Resort,All applicable hotel taxes; Bonfire and cultural evening; Hill-station sightseeing with entry tickets; Daily breakfast,Entry fees to monuments not listed in itinerary; Early check-in/late check-out charges; Optional excursions and activities; Lunch not specified in itinerary; Any meals not mentioned in inclusions
PKG038,Singapore City & Sentosa 6D/5N Tour Package,Singapore City & Sentosa,6,85500,Hotel Boss Singapore,Travel insurance; All applicable hotel taxes; English-speaking local guide; One-day city tour with entry tickets; Daily breakfast,GST and other government taxes over quoted price; Anything not specifically mentioned in inclusions; Early check-in/late check-out charges
PKG039,Coorg Family Getaway - 3 Days,"Coorg, Karnataka",3,10000,Evolve Back Coorg,Sightseeing as per itinerary; Airport transfers; English-speaking local guide; Welcome drink on arrival; All applicable hotel taxes,"International/domestic airfare (unless mentioned); Entry fees to monuments not listed in itinerary; Anything not specifically mentioned in inclusions; GST and other government taxes over quoted price; Personal expenses (laundry, phone, minibar)"
PKG040,Abu Dhabi Explorer 4D/3N Tour Package,Abu Dhabi Explorer,4,32500,Yas Island Rotana,Daily breakfast; Desert safari with BBQ dinner; Burj Khalifa / landmark entry ticket; Welcome drink on arrival,"Tips and porterage; Visa fees; Anything not specifically mentioned in inclusions; Personal expenses (laundry, phone, minibar); GST and other government taxes over quoted price"
PKG041,Magical London & Edinburgh - 8D/7N,"London & Edinburgh, UK",8,130000,The Rubens at the Palace,"All meals (breakfast, lunch & dinner); Visa assistance; Return economy class flights; Private air-conditioned vehicle for transfers; One-day city tour with entry tickets; Half board meals (breakfast & dinner); Airport transfers",Early check-in/late check-out charges; Travel insurance; Lunch not specified in itinerary; Tips and porterage; GST and other government taxes over quoted price
PKG042,Explore Ooty & Coonoor - 3D/2N,"Ooty & Coonoor, Tamil Nadu",3,8000,Savoy Ooty,"One-day city tour with entry tickets; Airport transfers; Houseboat overnight stay; Half board meals (breakfast & dinner); Welcome drink on arrival; All meals (breakfast, lunch & dinner); All applicable hotel taxes",Any meals not mentioned in inclusions; Anything not specifically mentioned in inclusions; Entry fees to monuments not listed in itinerary; Visa fees
PKG043,Darjeeling & Gangtok 6D/5N Holiday Package,Darjeeling & Gangtok,6,32500,Mayfair Darjeeling,Welcome drink on arrival; Airport transfers; All applicable hotel taxes; Bonfire and cultural evening,"Tips and porterage; Optional excursions and activities; Personal expenses (laundry, phone, minibar); Early check-in/late check-out charges"
PKG044,Kumarakom Family Getaway - 3 Days,"Kumarakom, Kerala",3,16500,Coconut Lagoon,"Bonfire and cultural evening; One-day city tour with entry tickets; All applicable hotel taxes; All meals (breakfast, lunch & dinner); Airport transfers","Anything not specifically mentioned in inclusions; Lunch not specified in itinerary; Personal expenses (laundry, phone, minibar); Any meals not mentioned in inclusions; GST and other government taxes over quoted price"
PKG045,Alleppey Backwaters Family Getaway - 2 Days,"Alleppey Backwaters, Kerala",2,10000,Lakeshore Houseboat Stay,"All meals (breakfast, lunch & dinner); Houseboat overnight stay; Daily breakfast; English-speaking local guide; Sightseeing as per itinerary; Bonfire and cultural evening; One-day city tour with entry tickets",Visa fees; Lunch not specified in itinerary; International/domestic airfare (unless mentioned); Entry fees to monuments not listed in itinerary
PKG046,Jeddah & Makkah Umrah Package Honeymoon Special - 7 Days,Jeddah & Makkah Umrah Package,7,104000,Swissotel Al Maqam Makkah,"Private air-conditioned vehicle for transfers; All meals (breakfast, lunch & dinner); Sightseeing as per itinerary; Airport transfers",Optional excursions and activities; Anything not specifically mentioned in inclusions; Early check-in/late check-out charges; Visa fees; Lunch not specified in itinerary
PKG047,Doha City Break Honeymoon Special - 3 Days,Doha City Break,3,23000,Marsa Malaz Kempinski,Private air-conditioned vehicle for transfers; One-day city tour with entry tickets; Daily breakfast; Half board meals (breakfast & dinner),"Tips and porterage; Optional excursions and activities; GST and other government taxes over quoted price; Lunch not specified in itinerary; Personal expenses (laundry, phone, minibar)"
PKG048,Magical Kuwait City Break - 3D/2N,Kuwait City Break,3,39000,Crowne Plaza Kuwait,Daily breakfast; Return economy class flights; Desert safari with BBQ dinner; English-speaking local guide; Welcome drink on arrival,Early check-in/late check-out charges; Travel insurance; Tips and porterage; Any meals not mentioned in inclusions; International/domestic airfare (unless mentioned)
PKG049,Explore Ooty & Coonoor - 3D/2N,"Ooty & Coonoor, Tamil Nadu",3,10000,Savoy Ooty,"All meals (breakfast, lunch & dinner); Bonfire and cultural evening; Houseboat overnight stay; One-day city tour with entry tickets; Hill-station sightseeing with entry tickets; English-speaking local guide","Entry fees to monuments not listed in itinerary; Personal expenses (laundry, phone, minibar); Tips and porterage; Any meals not mentioned in inclusions"
PKG050,Jeddah & Makkah Umrah Package Honeymoon Special - 7 Days,Jeddah & Makkah Umrah Package,7,100000,Swissotel Al Maqam Makkah,English-speaking local guide; All applicable hotel taxes; Visa assistance; Welcome drink on arrival; Burj Khalifa / landmark entry ticket,"Personal expenses (laundry, phone, minibar); Any meals not mentioned in inclusions; Lunch not specified in itinerary"
